word;lemm;lemmed
меры;мера;True
защите;защита;True
конституционного;конституционный;True
строя;строй;True
регулирует;регулировать;True
сдерживает;сдержать;True
пресекает;пресечь;True
вредоносную;вредоносный;True
внутренних;внутренний;True
государственного;государственный;True
устройства;устройство;True
общественной;общественный;True
морали;мораль;True
редактировался;редактировать;True
изменялся;изменить;True
дополнялся;дополнить;True
подписал;подписать;True
агентах;агент;True
своим;свой;True
целям;цель;True
задачам;задача;True
американскому;американский;True
обоих;оба;True
случаях;случай;True
раскрытии;раскрытие;True
целей;цель;True
задач;задача;True
деятельности;деятельность;True
лиц;лицо;True
организаций;организация;True
получают;получить;True
зарубежное;зарубежный;True
иные;иной;True
формы;форма;True
поддержки;поддержка;True
границы;граница;True
конце;конец;True
июня;июнь;True
принял;принять;True
законодательных;законодательный;True
акта;акт;True
направленных;направить;True
иностранного;иностранный;True
политического;политический;True
вмешательства;вмешательство;True
них;он;True
прописан;прописать;True
вторжения;вторжение;True
указана;указать;True
одна;один;True
конкретная;конкретный;True
законы;закон;True
приняты;принять;True
шпионской;шпионский;True
усиливается;усилить;True
называется;назвать;True
внесении;внесение;True
изменений;изменение;True
дополнений;дополнение;True
национальной;национальный;True
безопасности;безопасность;True
части;часть;True
шпионажа;шпионаж;True
документе;документ;True
модифицирован;модифицировать;True
видов;вид;True
относятся;относиться;True
шпионажу;шпионаж;True
расширены;расширить;True
юридические;юридический;True
полномочия;полномочие;True
органов;орган;True
целью;цель;True
пресечения;пресечение;True
скрытых;скрыть;True
вводящих;ввести;True
лица;лицо;True
принципала;принципал;True
заказчика;заказчик;True
руководителя;руководитель;True
заинтересованного;заинтересованный;True
таковым;таковой;True
заказчиком;заказчик;True
заинтересованным;заинтересованный;True
лицом;лицо;True
являются;явиться;True
иностранные;иностранный;True
правительства;правительство;True
организации;организация;True
государственные;государственный;True
предприятия;предприятие;True
физические;физический;True
связанные;связать;True
принципалом;принципал;True
схеме;схема;True
прозрачности;прозрачность;True
этому;этот;True
документу;документ;True
ведущие;ведущий;True
определенные;определённый;True
виды;вид;True
имени;имя;True
обязаны;обязать;True
принципалами;принципал;True
раскрывать;раскрыть;True
задачи;задача;True
стадии;стадия;True
законопроекта;законопроект;True
выборах;выборы;True
форме;форма;True
реформы;реформа;True
положений;положение;True
финансировании;финансирование;True
информации;информация;True
кандидатов;кандидат;True
планируется;планировать;True
финансирования;финансирование;True
источников;источник;True
выборных;выборный;True
кампаний;кампания;True
еще;ещё;True
вызвал;вызвать;True
активные;активный;True
общественные;общественный;True
дискуссии;дискуссия;True
предложениями;предложение;True
жестких;жёсткий;True
требований;требование;True
раскрытия;раскрытие;True
получении;получение;True
музеи;музей;True
прицелом;прицел;True
такое;такой;True
острая;острый;True
направлена;направить;True
наша;наш;True
размещала;разместить;True
политологов;политолог;True
кристофера;кристофер;True
уокера;уокер;True
джессики;джессика;True
авторов;автор;True
нового;новый;True
термина;термин;True
острой;острый;True
силы;сила;True
статье;статья;True
рассказывали;рассказать;True
том;то;True
применяют;применить;True
эту;этот;True
демократии;демократия;True
европы;европа;True
августовском;августовский;True
номере;номер;True
журнала;журнал;True
возобновили;возобновить;True
приведем;привести;True
тезисную;тезисный;True
выдержку;выдержка;True
знаменитого;знаменитый;True
вся;весь;True
вышеописанная;вышеописанный;True
законотворческая;законотворческий;True
имеет;иметь;True
прямое;прямой;True
тому;то;True
авторитарные;авторитарный;True
вмешиваются;вмешаться;True
институции;институция;True
демократических;демократический;True
обществ;общество;True
таким;такой;True
образом;образ;True
невообразим;невообразимый;True
холодной;холодный;True
университеты;университет;True
новостные;новостной;True
аналитические;аналитический;True
центры;центр;True
редакции;редакция;True
типографии;типография;True
процесса;процесс;True
целями;цель;True
внешнего;внешний;True
качестве;качество;True
примера;пример;True
приводится;привести;True
которая;который;True
других;другой;True
демократичных;демократичный;True
государств;государство;True
образцом;образец;True
подражания;подражание;True
австралийцы;австралиец;True
знают;знать;True
бороться;бороть;True
китайской;китайский;True
силой;сила;True
китайски;китайский;True
создания;создание;True
австралийских;австралийский;True
актов;акт;True
следующая;следующий;True
произошел;произойти;True
выяснилось;выяснить;True
получал;получить;True
китайского;китайский;True
бизнесмена;бизнесмен;True
связанного;связать;True
официальным;официальный;True
пекином;пекин;True
конкурентом;конкурент;True
члена;член;True
юго-восточной;юго-восточный;True
азии;азия;True
новой;новый;True
зеландии;зеландия;True
поднялась;поднять;True
аналогичная;аналогичный;True
органы;орган;True
провели;провести;True
следственные;следственный;True
действия;действие;True
депутата;депутат;True
парламента;парламент;True
янга;янг;True
цзяна;цзян;True
отличающегося;отличить;True
пекинской;пекинский;True
позицией;позиция;True
вызвано;вызвать;True
подозрительными;подозрительный;True
политика;политик;True
китайскими;китайский;True
силовиками;силовик;True
получением;получение;True
пожертвований;пожертвование;True
пользу;польза;True
партии;партия;True
стороны;сторона;True
одиозных;одиозный;True
разведчики;разведчик;True
выяснили;выяснить;True
весной;весна;True
получил;получить;True
долларов;доллар;True
скаковых;скаковой;True
лошадей;лошадь;True
внутренней;внутренний;True
монголии;монголия;True
ноябре;ноябрь;True
новозеландские;новозеландский;True
опубликовали;опубликовать;True
материалы;материал;True
рассматривались;рассмотреть;True
вопросы;вопрос;True
многочисленных;многочисленный;True
диаспор;диаспора;True
проживающих;прожить;True
странах;страна;True
которых;который;True
ведет;вести;True
активную;активный;True
работу;работа;True
вовлечению;вовлечение;True
орбиту;орбита;True
интересов;интерес;True
рекомендовали;рекомендовать;True
главам;глава;True
китайские;китайский;True
диаспоры;диаспора;True
жизни;жизнь;True
конфуции;конфуций;True
рассказывала;рассказать;True
программе;программа;True
конфуция;конфуций;True
запущена;запустить;True
рамках;рамка;True
которой;который;True
всему;весь;True
миру;мир;True
открывает;открыть;True
культурно;культурный;True
образовательные;образовательный;True
аналитики;аналитик;True
полагают;полагать;True
такие;такой;True
институты;институт;True
инструментом;инструмент;True
распространения;распространение;True
академическую;академический;True
научную;научный;True
сферы;сфера;True
американские;американский;True
сенаторы;сенатор;True
развернули;развернуть;True
кампанию;кампания;True
института;институт;True
университетских;университетский;True
городках;городок;True
призвали;призвать;True
администрацию;администрация;True
университетов;университет;True
принимать;принять;True
сторон;сторона;True
имеют;иметь;True
тесные;тесный;True
китайским;китайский;True
правительством;правительство;True
сенаторов;сенатор;True
поддержал;поддержать;True
исследованиям;исследование;True
ассоциации;ассоциация;True
сотрудников;сотрудник;True
образования;образование;True
давшие;дать;True
оправдывают;оправдать;True
свои;свой;True
решения;решение;True
тем;то;True
им;он;True
хватало;хватить;True
финансов;финансы;True
реализацию;реализация;True
исследовательских;исследовательский;True
проектов;проект;True
врагом;враг;True
америки;америка;True
вывели;вывести;True
языка;язык;True
литературы;литература;True
другие;другой;True
предметы;предмет;True
области;область;True
синологии;синология;True
этим;это;True
воспользовался;воспользоваться;True
наладив;наладить;True
далее;далеко;True
навязывать;навязать;True
молчания;молчание;True
называемых;назвать;True
трех;три;True
тибета;тибет;True
тайваня;тайвань;True
поводу;повод;True
критикует;критиковать;True
поднебесную;поднебесная;True
видим;видеть;True
развивается;развить;True
лучших;хороший;True
традициях;традиция;True
геополитического;геополитический;True
будем;быть;True
продолжать;продолжить;True
нашу;наш;True
уважаемую;уважать;True
аудиторию;аудитория;True
сводками;сводка;True
фронтов;фронт;True
лишены;лишить;True
лицензии;лицензия;True
состоянию;состояние;True
августа;август;True
банках;банк;True
находилось;находиться;True
населения;население;True
бизнеса;бизнес;True
числе;число;True
лишен;лишить;True
лишении;лишение;True
банковских;банковский;True
иных;иной;True
операций;операция;True
ценных;ценный;True
бумаг;бумага;True
объяснил;объяснить;True
свое;свой;True
ненадлежащим;ненадлежащий;True
исполнял;исполнить;True
договорные;договорной;True
обязательства;обязательство;True
платежным;платёжный;True
переводным;переводной;True
операциям;операция;True
нарушал;нарушить;True
пруденциальные;пруденциальный;True
нормативы;норматив;True
низкой;низкий;True
доли;доля;True
активов;актив;True
обязательств;обязательство;True
совокупных;совокупный;True
активах;актив;True
обязательствах;обязательство;True
банковского;банковский;True
сектора;сектор;True
несет;нести;True
подчеркнули;подчеркнуть;True
пресс-службе;пресс-служба;True
регулятора;регулятор;True
приказом;приказ;True
председателя;председатель;True
назначена;назначить;True
временная;временный;True
перешли;перейти;True
всех;весь;True
управления;управление;True
назначения;назначение;True
ликвидационной;ликвидационный;True
комиссии;комиссия;True
судом;суд;True
прекращены;прекратить;True
операции;операция;True
банковским;банковский;True
счетам;счёт;True
клиентов;клиент;True
самого;сам;True
банка;банк;True
исключением;исключение;True
случаев;случай;True
связанных;связать;True
расходами;расход;True
предусмотренными;предусмотреть;True
нормативными;нормативный;True
правовыми;правовой;True
актами;акт;True
уполномоченного;уполномочить;True
органа;орган;True
зачислением;зачисление;True
поступающих;поступить;True
денег;деньги;True
установленном;установить;True
законодательством;законодательство;True
порядке;порядок;True
обратится;обратить;True
заявлением;заявление;True
принудительном;принудительный;True
прекращении;прекращение;True
ликвидации;ликвидация;True
даты;дата;True
возбуждения;возбуждение;True
дела;дело;True
принудительной;принудительный;True
требования;требование;True
кредиторов;кредитор;True
нему;он;True
предъявлены;предъявить;True
ликвидационном;ликвидационный;True
производстве;производство;True
текущими;текущий;True
отмечают;отметить;True
новое;новый;True
спасло;спасти;True
серьезные;серьёзный;True
проблемы;проблема;True
начались;начать;True
обвинил;обвинить;True
акционеров;акционер;True
банков;банк;True
работе;работа;True
астаны;астана;True
ужасные;ужасный;True
того;то;True
акционеры;акционер;True
руководили;руководить;True
ими;он;True
задолжали;задолжать;True
вкладчикам;вкладчик;True
средствами;средство;True
хотят;хотеть;True
дальше;далеко;True
вернут;вернуть;True
вытащили;вытащить;True
самым;самый;True
неправильным;неправильный;True
заявил;заявить;True
самом;сам;True
признали;признать;True
складывается;сложить;True
лучшим;хороший;True
происходящем;произойти;True
была;быть;True
возложена;возложить;True
банке;банк;True
отметили;отметить;True
контролем;контроль;True
новом;новый;True
руководстве;руководство;True
проведена;провести;True
привлечена;привлечь;True
размере;размер;True
ситуацию;ситуация;True
помогло;помочь;True
последующее;последующий;True
подразделений;подразделение;True
вкладчиков;вкладчик;True
проблемных;проблемный;True
кредитов;кредит;True
сказалось;сказаться;True
смог;смочь;True
восстановиться;восстановить;True
провел;провести;True
докапитализацию;докапитализация;True
касается;коснуться;True
эксимбанка;эксимбанк;True
схожая;схожий;True
критики;критика;True
нурсултана;нурсултан;True
назарбаева;назарбаев;True
приостановил;приостановить;True
лицензию;лицензия;True
прием;приём;True
депозитов;депозит;True
счетов;счёт;True
физических;физический;True
сроком;срок;True
месяца;месяц;True
несвоевременного;несвоевременный;True
исполнения;исполнение;True
клиентами;клиент;True
приостановлена;приостановить;True
окончания;окончание;True
срока;срок;True
прекратил;прекратить;True
свою;свой;True
постановлением;постановление;True
правления;правление;True
принято;принять;True
причины;причина;True
отличаются;отличить;True
тех;тот;True
лишился;лишить;True
систематическое;систематический;True
пруденциальных;пруденциальный;True
нормативов;норматив;True
нормативных;нормативный;True
правовых;правовой;True
крупным;крупный;True
участником;участник;True
дополнительной;дополнительный;True
капитализации;капитализация;True
сменят;сменить;True
удален;удалить;True
активами;актив;True
помог;помочь;True
минувший;минуть;True
сайте;сайт;True
появилось;появиться;True
роспуске;роспуск;True
совета;совет;True
директоров;директор;True
посты;пост;True
покинули;покинуть;True
сотрудничества;сотрудничество;True
произошло;произойти;True
инициативе;инициатива;True
позже;поздно;True
объяснили;объяснить;True
которое;который;True
является;явиться;True
крупнейшим;крупный;True
акционером;акционер;True
данным;данные;True
июля;июль;True
принадлежало;принадлежать;True
cовет;совет;True
отчуждении;отчуждение;True
реализации;реализация;True
указанных;указать;True
еркыну;еркын;True
амирханову;амирханов;True
связанным;связать;True
компаниям;компания;True
результате;результат;True
проведенных;провести;True
сделок;сделка;True
частью;часть;True
группы;группа;True
говорится;сказать;True
сообщении;сообщение;True
собственной;собственный;True
вышли;выйти;True
занимавший;занять;True
члены;член;True
добавляет;добавить;True
стоит;стоить;True
июле;июль;True
выкупили;выкупить;True
еркына;еркын;True
амирханова;амирханов;True
владел;владеть;True
став;стать;True
крупными;крупный;True
участниками;участник;True
владеющими;владеть;True
равными;равный;True
долями;доля;True
бизнесмены;бизнесмен;True
обменялись;обменять;True
акции;акция;True
отошли;отойти;True
кану;кан;True
клебанову;клебанов;True
закрывающихся;закрыть;True
которыми;который;True
владеет;владеть;True
оценивалась;оценить;True
приходилось;прийтись;True
долговые;долговой;True
бумаги;бумага;True
времени;время;True
расположен;расположить;True
сумму;сумма;True
погашении;погашение;True
которого;который;True
сообщалось;сообщить;True
нем;он;True
держал;держать;True
вклады;вклад;True
физлиц;физлицо;True
сократились;сократить;True
января;январь;True
депозитах;депозит;True
хранилось;хранить;True
объем;объём;True
упал;упасть;True
населением;население;True
работал;работать;True
начале;начало;True
вкладов;вклад;True
составлял;составить;True
системы;система;True
обязательного;обязательный;True
гарантирования;гарантирование;True
депозиторам;депозитор;True
выплачено;выплатить;True
гарантийное;гарантийный;True
юрлиц;юрлицо;True
снизился;снизить;True
раза;раз;True
эксимбанке;эксимбанк;True
средств;средство;True
январе;январь;True
значимых;значимый;True
темах;тема;True
прошлого;прошлый;True
возникших;возникнуть;True
общественно;общественный;True
беседуем;беседовать;True
известным;известный;True
казахстанским;казахстанский;True
политологом;политолог;True
главным;главный;True
редактором;редактор;True
информационно;информационный;True
аналитического;аналитический;True
портала;портал;True
султанбеком;султанбек;True
султангалиевым;султангалиев;True
дениса;денис;True
тена;тен;True
потрясла;потрясти;True
всю;весь;True
страну;страна;True
считают;счесть;True
трагическое;трагический;True
поворотным;поворотный;True
пунктом;пункт;True
нашего;наш;True
общественного;общественный;True
сознания;сознание;True
извините;извинить;True
вызванная;вызвать;True
эмоциями;эмоция;True
общественное;общественный;True
социума;социум;True
определяется;определить;True
экономическими;экономический;True
политическими;политический;True
факторами;фактор;True
чем-то;что-то;True
иным;иной;True
вспомните;вспомнить;True
негодования;негодование;True
мальчиком;мальчик;True
южного;южный;True
закончилась;закончить;True
поймите;понять;True
социальные;социальный;True
сети;сеть;True
развернулась;развернуть;True
обличительная;обличительный;True
назвал;назвать;True
детским;детский;True
садиком;садик;True
зарождающегося;зародить;True
гражданского;гражданский;True
общества;общество;True
полноценным;полноценный;True
гражданским;гражданский;True
обществом;общество;True
школу;школа;True
гражданской;гражданский;True
сознательности;сознательность;True
развитии;развитие;True
полнокровных;полнокровный;True
общественных;общественный;True
институтов;институт;True
уверен;уверенный;True
придем;прийти;True
текущего;текущий;True
столетия;столетие;True
эволюционным;эволюционный;True
революционным;революционный;True
путем;путь;True
надеюсь;надеяться;True
первым;первый;True
стране;страна;True
гражданам;гражданин;True
никакие;никакой;True
потрясения;потрясение;True
нужны;нужный;True
знаковым;знаковый;True
данной;дать;True
масштабная;масштабный;True
негативная;негативный;True
выплеснутого;выплеснуть;True
массового;массовый;True
раздражения;раздражение;True
недовольства;недовольство;True
ждет;ждать;True
перемен;перемена;True
